"","ID","AREA","ID_YEAR","YEAR","METHOD"
"X10695","X10695",177325.244319083,"X10695_1991","1991","MCP"
"X12080","X12080",280537.591076819,"X12080_1994","1994","MCP"
"X13289","X13289",98791.0793968799,"X13289_1994","1994","MCP"
"X13292","X13292",103162.331642907,"X13292_1993","1993","MCP"
"X13428","X13428",119351.527890519,"X13428_1994","1994","MCP"
"X13746","X13746",49362.4174185466,"X13746_1994","1994","MCP"
"X137461","X13746",132817.973473334,"X13746_1995","1995","MCP"
"1","X10695",417692.042243355,"X10695_1991","1991","HREF"
"2","X10695",439875.840292769,"X10695_1992","1992","HREF"
"3","X10700",271175.191865449,"X10700_1993","1993","HREF"
"4","X10700",803562.183470523,"X10700_1994","1994","HREF"
"5","X10703",88343.182693554,"X10703_1993","1993","HREF"
"6","X10703",94879.6735927768,"X10703_1994","1994","HREF"
"7","X10707",435211.317737265,"X10707_1992","1992","HREF"
"8","X10707",267786.328996085,"X10707_1993","1993","HREF"
"9","X10709",53300.5768144058,"X10709_1993","1993","HREF"
"10","X11975",10814.6138556087,"X11975_1994","1994","HREF"
"11","X11975",4307.11514773563,"X11975_1995","1995","HREF"
"12","X12080",1294468.87853619,"X12080_1994","1994","HREF"
"13","X12080",1013836.59759662,"X12080_1995","1995","HREF"
"14","X12086",3898.54540112997,"X12086_1995","1995","HREF"
"15","X12092",63871.4257843979,"X12092_1994","1994","HREF"
"16","X13284",397892.661220482,"X13284_1993","1993","HREF"
"17","X13289",308221.663548137,"X13289_1993","1993","HREF"
"18","X13289",235543.223884112,"X13289_1994","1994","HREF"
"19","X13292",288592.59725159,"X13292_1993","1993","HREF"
"20","X13292",1642116.67802736,"X13292_1994","1994","HREF"
"21","X13428",391118.002142948,"X13428_1994","1994","HREF"
"22","X13437",339014.236721544,"X13437_1995","1995","HREF"
"23","X13746",88925.7317729804,"X13746_1994","1994","HREF"
"24","X13746",283379.730834816,"X13746_1995","1995","HREF"
"25","X30126",161444.240025781,"X30126_1998","1998","HREF"
"26","X30126",85615.1305945315,"X30126_1999","1999","HREF"
"27","X30129",100050.67590765,"X30129_1998","1998","HREF"
"28","X30129",135259.055285333,"X30129_1999","1999","HREF"
"29","X30131",962262.093464978,"X30131_1998","1998","HREF"
"30","X30131",324300.947369299,"X30131_1999","1999","HREF"
"31","X30135",102127.108395775,"X30135_1999","1999","HREF"
"110","X10695",59762.0261358535,"X10695_1991","1991","HPI"
"210","X10695",131030.690646777,"X10695_1992","1992","HPI"
"32","X10700",66148.9736675892,"X10700_1993","1993","HPI"
"41","X10700",187731.543632919,"X10700_1994","1994","HPI"
"51","X10703",31481.4871021939,"X10703_1993","1993","HPI"
"61","X10703",21936.4069817194,"X10703_1994","1994","HPI"
"71","X10707",75056.6127881563,"X10707_1992","1992","HPI"
"81","X10707",57004.4507676219,"X10707_1993","1993","HPI"
"91","X10709",10874.0010652473,"X10709_1993","1993","HPI"
"101","X11975",2749.49129634435,"X11975_1994","1994","HPI"
"111","X11975",1250.47900173002,"X11975_1995","1995","HPI"
"121","X12080",137705.523760768,"X12080_1994","1994","HPI"
"131","X12080",123288.891328435,"X12080_1995","1995","HPI"
"141","X12086",699.10400483271,"X12086_1995","1995","HPI"
"151","X12092",8169.09695891986,"X12092_1994","1994","HPI"
"161","X13284",167286.26267677,"X13284_1993","1993","HPI"
"171","X13289",94110.1035515264,"X13289_1993","1993","HPI"
"181","X13289",70270.3464830376,"X13289_1994","1994","HPI"
"191","X13292",62308.6218192631,"X13292_1993","1993","HPI"
"201","X13292",233926.832922863,"X13292_1994","1994","HPI"
"211","X13428",48610.8455862808,"X13428_1994","1994","HPI"
"221","X13437",97686.3182494589,"X13437_1995","1995","HPI"
"231","X13746",3572.13459776826,"X13746_1994","1994","HPI"
"241","X13746",44661.4616479762,"X13746_1995","1995","HPI"
"251","X30126",37436.2613814212,"X30126_1998","1998","HPI"
"261","X30126",7536.02461912756,"X30126_1999","1999","HPI"
"271","X30129",20928.7617427943,"X30129_1998","1998","HPI"
"281","X30129",27895.3209644938,"X30129_1999","1999","HPI"
"291","X30131",125785.53297669,"X30131_1998","1998","HPI"
"301","X30131",61037.4051676709,"X30131_1999","1999","HPI"
"311","X30135",34736.3539801334,"X30135_1999","1999","HPI"
