,ID,MCP_AREA,ID_YEAR.x,YEAR.x,ID_YEAR.y,YEAR.y,HREF_AREA,HREF_AREA_KM2,ID_YEAR,YEAR,HPI_AREA,HPI_AREA_KM2,MEAN
39,X13746,49362.41742,X13746_1994,1994,X13746_1995,1995,2.8338E+11,283379.7308,X13746_1994,1994,3572134598,3572.134598,112104.761
40,X13746,49362.41742,X13746_1994,1994,X13746_1995,1995,2.8338E+11,283379.7308,X13746_1995,1995,44661461648,44661.46165,125801.2033
41,X13746,49362.41742,X13746_1994,1994,X13746_1994,1994,88925731773,88925.73177,X13746_1994,1994,3572134598,3572.134598,47286.76126
42,X13746,49362.41742,X13746_1994,1994,X13746_1994,1994,88925731773,88925.73177,X13746_1995,1995,44661461648,44661.46165,60983.20361
29,X13289,98791.0794,X13289_1994,1994,X13289_1993,1993,3.08222E+11,308221.6635,X13289_1993,1993,94110103552,94110.10355,167040.9488
30,X13289,98791.0794,X13289_1994,1994,X13289_1993,1993,3.08222E+11,308221.6635,X13289_1994,1994,70270346483,70270.34648,159094.3631
31,X13289,98791.0794,X13289_1994,1994,X13289_1994,1994,2.35543E+11,235543.2239,X13289_1993,1993,94110103552,94110.10355,142814.8023
32,X13289,98791.0794,X13289_1994,1994,X13289_1994,1994,2.35543E+11,235543.2239,X13289_1994,1994,70270346483,70270.34648,134868.2166
33,X13292,103162.3316,X13292_1993,1993,X13292_1994,1994,1.64212E+12,1642116.678,X13292_1993,1993,62308621819,62308.62182,602529.2105
34,X13292,103162.3316,X13292_1993,1993,X13292_1994,1994,1.64212E+12,1642116.678,X13292_1994,1994,2.33927E+11,233926.8329,659735.2809
35,X13292,103162.3316,X13292_1993,1993,X13292_1993,1993,2.88593E+11,288592.5973,X13292_1993,1993,62308621819,62308.62182,151354.5169
36,X13292,103162.3316,X13292_1993,1993,X13292_1993,1993,2.88593E+11,288592.5973,X13292_1994,1994,2.33927E+11,233926.8329,208560.5873
37,X13428,119351.5279,X13428_1994,1994,X13428_1994,1994,3.91118E+11,391118.0021,X13428_1994,1994,48610845586,48610.84559,186360.1252
43,X13746,132817.9735,X13746_1995,1995,X13746_1995,1995,2.8338E+11,283379.7308,X13746_1994,1994,3572134598,3572.134598,139923.2796
44,X13746,132817.9735,X13746_1995,1995,X13746_1995,1995,2.8338E+11,283379.7308,X13746_1995,1995,44661461648,44661.46165,153619.722
45,X13746,132817.9735,X13746_1995,1995,X13746_1994,1994,88925731773,88925.73177,X13746_1994,1994,3572134598,3572.134598,75105.27995
46,X13746,132817.9735,X13746_1995,1995,X13746_1994,1994,88925731773,88925.73177,X13746_1995,1995,44661461648,44661.46165,88801.7223
1,X10695,177325.2443,X10695_1991,1991,X10695_1991,1991,4.17692E+11,417692.0422,X10695_1991,1991,59762026136,59762.02614,218259.7709
2,X10695,177325.2443,X10695_1991,1991,X10695_1991,1991,4.17692E+11,417692.0422,X10695_1992,1992,1.31031E+11,131030.6906,242015.9924
3,X10695,177325.2443,X10695_1991,1991,X10695_1992,1992,4.39876E+11,439875.8403,X10695_1991,1991,59762026136,59762.02614,225654.3702
4,X10695,177325.2443,X10695_1991,1991,X10695_1992,1992,4.39876E+11,439875.8403,X10695_1992,1992,1.31031E+11,131030.6906,249410.5918
22,X12080,280537.5911,X12080_1994,1994,X12080_1994,1994,1.29447E+12,1294468.879,X12080_1994,1994,1.37706E+11,137705.5238,570903.9978
23,X12080,280537.5911,X12080_1994,1994,X12080_1994,1994,1.29447E+12,1294468.879,X12080_1995,1995,1.23289E+11,123288.8913,566098.4536
24,X12080,280537.5911,X12080_1994,1994,X12080_1995,1995,1.01384E+12,1013836.598,X12080_1994,1994,1.37706E+11,137705.5238,477359.9041
25,X12080,280537.5911,X12080_1994,1994,X12080_1995,1995,1.01384E+12,1013836.598,X12080_1995,1995,1.23289E+11,123288.8913,472554.36
5,X10700,NA,NA,NA,X10700_1993,1993,2.71175E+11,271175.1919,X10700_1993,1993,66148973668,66148.97367,168662.0828
6,X10700,NA,NA,NA,X10700_1993,1993,2.71175E+11,271175.1919,X10700_1994,1994,1.87732E+11,187731.5436,229453.3677
7,X10700,NA,NA,NA,X10700_1994,1994,8.03562E+11,803562.1835,X10700_1993,1993,66148973668,66148.97367,434855.5786
8,X10700,NA,NA,NA,X10700_1994,1994,8.03562E+11,803562.1835,X10700_1994,1994,1.87732E+11,187731.5436,495646.8636
9,X10703,NA,NA,NA,X10703_1993,1993,88343182694,88343.18269,X10703_1993,1993,31481487102,31481.4871,59912.3349
10,X10703,NA,NA,NA,X10703_1993,1993,88343182694,88343.18269,X10703_1994,1994,21936406982,21936.40698,55139.79484
11,X10703,NA,NA,NA,X10703_1994,1994,94879673593,94879.67359,X10703_1993,1993,31481487102,31481.4871,63180.58035
12,X10703,NA,NA,NA,X10703_1994,1994,94879673593,94879.67359,X10703_1994,1994,21936406982,21936.40698,58408.04029
13,X10707,NA,NA,NA,X10707_1992,1992,4.35211E+11,435211.3177,X10707_1992,1992,75056612788,75056.61279,255133.9653
14,X10707,NA,NA,NA,X10707_1992,1992,4.35211E+11,435211.3177,X10707_1993,1993,57004450768,57004.45077,246107.8843
15,X10707,NA,NA,NA,X10707_1993,1993,2.67786E+11,267786.329,X10707_1992,1992,75056612788,75056.61279,171421.4709
16,X10707,NA,NA,NA,X10707_1993,1993,2.67786E+11,267786.329,X10707_1993,1993,57004450768,57004.45077,162395.3899
17,X10709,NA,NA,NA,X10709_1993,1993,53300576814,53300.57681,X10709_1993,1993,10874001065,10874.00107,32087.28894
18,X11975,NA,NA,NA,X11975_1994,1994,10814613856,10814.61386,X11975_1994,1994,2749491296,2749.491296,6782.052576
19,X11975,NA,NA,NA,X11975_1994,1994,10814613856,10814.61386,X11975_1995,1995,1250479002,1250.479002,6032.546429
20,X11975,NA,NA,NA,X11975_1995,1995,4307115148,4307.115148,X11975_1994,1994,2749491296,2749.491296,3528.303222
21,X11975,NA,NA,NA,X11975_1995,1995,4307115148,4307.115148,X11975_1995,1995,1250479002,1250.479002,2778.797075
26,X12086,NA,NA,NA,X12086_1995,1995,3898545401,3898.545401,X12086_1995,1995,699104004.8,699.1040048,2298.824703
27,X12092,NA,NA,NA,X12092_1994,1994,63871425784,63871.42578,X12092_1994,1994,8169096959,8169.096959,36020.26137
28,X13284,NA,NA,NA,X13284_1993,1993,3.97893E+11,397892.6612,X13284_1993,1993,1.67286E+11,167286.2627,282589.4619
38,X13437,NA,NA,NA,X13437_1995,1995,3.39014E+11,339014.2367,X13437_1995,1995,97686318249,97686.31825,218350.2775
47,X30126,NA,NA,NA,X30126_1998,1998,1.61444E+11,161444.24,X30126_1998,1998,37436261381,37436.26138,99440.2507
48,X30126,NA,NA,NA,X30126_1998,1998,1.61444E+11,161444.24,X30126_1999,1999,7536024619,7536.024619,84490.13232
49,X30126,NA,NA,NA,X30126_1999,1999,85615130595,85615.13059,X30126_1998,1998,37436261381,37436.26138,61525.69599
50,X30126,NA,NA,NA,X30126_1999,1999,85615130595,85615.13059,X30126_1999,1999,7536024619,7536.024619,46575.57761
51,X30129,NA,NA,NA,X30129_1999,1999,1.35259E+11,135259.0553,X30129_1998,1998,20928761743,20928.76174,78093.90851
52,X30129,NA,NA,NA,X30129_1999,1999,1.35259E+11,135259.0553,X30129_1999,1999,27895320964,27895.32096,81577.18812
53,X30129,NA,NA,NA,X30129_1998,1998,1.00051E+11,100050.6759,X30129_1998,1998,20928761743,20928.76174,60489.71883
54,X30129,NA,NA,NA,X30129_1998,1998,1.00051E+11,100050.6759,X30129_1999,1999,27895320964,27895.32096,63972.99844
55,X30131,NA,NA,NA,X30131_1998,1998,9.62262E+11,962262.0935,X30131_1998,1998,1.25786E+11,125785.533,544023.8132
56,X30131,NA,NA,NA,X30131_1998,1998,9.62262E+11,962262.0935,X30131_1999,1999,61037405168,61037.40517,511649.7493
57,X30131,NA,NA,NA,X30131_1999,1999,3.24301E+11,324300.9474,X30131_1998,1998,1.25786E+11,125785.533,225043.2402
58,X30131,NA,NA,NA,X30131_1999,1999,3.24301E+11,324300.9474,X30131_1999,1999,61037405168,61037.40517,192669.1763
59,X30135,NA,NA,NA,X30135_1999,1999,1.02127E+11,102127.1084,X30135_1999,1999,34736353980,34736.35398,68431.73119
