field_1,ID,DATE,DAY,MONTH,YEAR,TIME,LAT,LONG,ROWID,ICE_LAND
"191",X10709,8-22-92,"22",August,"1992",16:12,64.016999999999996,-65.450000000000003,"199",
"195",X10709,8-27-92,"27",August,"1992",13:36,64.367000000000004,-65.417000000000002,"203",
"198",X10700,9-04-92,"4",September,"1992",19:50,63.767000000000003,-64.617000000000004,"210",
"199",X10709,9-06-92,"6",September,"1992",12:30,64.617000000000004,-65.650000000000006,"211",
"201",X10703,9-15-92,"15",September,"1992",12:40,64.167000000000002,-65.117000000000004,"215",
"202",X10703,9-25-92,"25",September,"1992",15:46,64.150000000000006,-65.417000000000002,"216",
"203",X13284,10-01-92,"1",October,"1992",".",66.462000000000003,-62.100000000000001,"218",
"204",X13292,10-03-92,"3",October,"1992",".",65.123999999999995,-63.444000000000003,"219",
"205",X13289,10-03-92,"3",October,"1992",".",65.143000000000001,-63.448000000000000,"220",
"206",X13284,10-08-92,"8",October,"1992",".",66.444999999999993,-62.185000000000002,"221",
"207",X13292,10-09-92,"9",October,"1992",".",65.113000000000000,-63.441000000000003,"222",
"208",X13289,10-09-92,"9",October,"1992",".",65.177000000000007,-63.411000000000001,"223",
"209",X13289,10-15-92,"15",October,"1992",".",65.213999999999999,-63.409999999999997,"224",
"210",X10707,10-16-92,"16",October,"1992",16:57,65.233000000000004,-63.817000000000000,"225",
"211",X13284,10-16-92,"16",October,"1992",".",66.471999999999994,-62.063000000000002,"226",
"212",X13292,10-21-92,"21",October,"1992",".",65.122000000000000,-63.436999999999998,"227",
"213",X10707,10-21-92,"21",October,"1992",11:01,65.183000000000007,-63.799999999999997,"228",
"215",X13284,10-24-92,"24",October,"1992",".",66.471999999999994,-62.076999999999998,"230",
"216",X10707,10-26-92,"26",October,"1992",14:57,65.200000000000003,-63.549999999999997,"231",
"217",X13292,10-27-92,"27",October,"1992",".",65.119000000000000,-63.392000000000003,"232",
"218",X13289,10-27-92,"27",October,"1992",".",65.200999999999993,-63.427000000000000,"233",
"219",X10707,10-31-92,"31",October,"1992",14:00,65.167000000000002,-63.616999999999997,"234",
"220",X13284,11-01-92,"1",November,"1992",".",66.456999999999994,-62.137999999999998,"235",
"223",X13284,11-05-92,"5",November,"1992",".",66.471000000000004,-62.031999999999996,"238",
"226",X13284,11-09-92,"9",November,"1992",".",66.412000000000006,-61.963999999999999,"241",
"228",X13292,11-14-92,"14",November,"1992",".",65.219999999999999,-63.356000000000002,"243",
"254",X10707,12-20-92,"20",December,"1992",11:54,62.450000000000003,-64.382999999999996,"269",
"281",X10700,2-06-93,"6",February,"1993",19:19,63.850000000000001,-65.183000000000007,"296",
"283",X10709,2-08-93,"8",February,"1993",12:25,64.500000000000000,-65.750000000000000,"298",
"301",X10700,3-03-93,"3",March,"1993",19:21,63.866999999999997,-65.233000000000004,"316",
"306",X10709,3-10-93,"10",March,"1993",17:51,64.500000000000000,-65.783000000000001,"321",
"310",X10703,3-14-93,"14",March,"1993",15:26,64.167000000000002,-65.400000000000006,"325",
"312",X10709,3-15-93,"15",March,"1993",11:35,64.500000000000000,-65.783000000000001,"327",
"314",X10700,3-18-93,"18",March,"1993",19:39,63.866999999999997,-65.117000000000004,"329",
"318",X10709,3-20-93,"20",March,"1993",15:55,64.417000000000002,-65.516999999999996,"333",
"320",X10700,3-23-93,"23",March,"1993",22:01,63.817000000000000,-65.033000000000001,"335",
"323",X10709,3-25-93,"25",March,"1993",11:22,64.549999999999997,-65.500000000000000,"338",
"325",X10700,3-28-93,"28",March,"1993",19:17,63.850000000000001,-65.183000000000007,"340",
"333",X10700,4-02-93,"2",April,"1993",18:15,63.850000000000001,-65.117000000000004,"348",
"334",X10703,4-03-93,"3",April,"1993",18:06,64.167000000000002,-65.283000000000001,"349",
"337",X10709,4-04-93,"4",April,"1993",12:55,64.400000000000006,-65.316999999999993,"352",
"348",X10700,4-12-93,"12",April,"1993",17:55,63.950000000000003,-64.700000000000003,"364",
"355",X10700,4-17-93,"17",April,"1993",19:45,64.000000000000000,-64.299999999999997,"371",
"410",X10700,5-22-93,"22",May,"1993",19:51,62.417000000000002,-64.549999999999997,"427",
"501",X10703,8-01-93,"1",August,"1993",13:33,65.132999999999996,-63.567000000000000,"521",
"507",X10703,8-06-93,"6",August,"1993",16:43,65.183000000000007,-63.866999999999997,"530",
"510",X13292,8-11-93,"11",August,"1993",".",64.897000000000006,-63.569000000000003,"533",
"511",X10703,8-11-93,"11",August,"1993",18:32,65.233000000000004,-63.832999999999998,"534",
"514",X10700,8-15-93,"15",August,"1993",17:43,66.349999999999994,-61.567000000000000,"537",
"515",X10703,8-16-93,"16",August,"1993",14:15,65.216999999999999,-63.832999999999998,"538",
"516",X13292,8-17-93,"17",August,"1993",".",64.897000000000006,-63.569000000000003,"539",
"521",X10709,8-22-93,"22",August,"1993",17:56,64.417000000000002,-65.066999999999993,"544",
"523",X13292,8-23-93,"23",August,"1993",".",64.897000000000006,-63.569000000000003,"546",
"526",X13292,8-29-93,"29",August,"1993",".",64.897000000000006,-63.569000000000003,"549",
"527",X13289,8-29-93,"29",August,"1993",".",64.947999999999993,-63.304000000000002,"550",
"528",X10700,8-30-93,"30",August,"1993",18:03,66.566999999999993,-61.417000000000002,"551",
"529",X10709,9-01-93,"1",September,"1993",14:03,64.766999999999996,-65.599999999999994,"552",
"530",X13292,9-04-93,"4",September,"1993",".",64.897000000000006,-63.569000000000003,"554",
"532",X10700,9-09-93,"9",September,"1993",21:08,66.599999999999994,-61.433000000000000,"556",
"534",X13292,9-10-93,"10",September,"1993",".",64.897000000000006,-63.569000000000003,"558",
"535",X10709,9-11-93,"11",September,"1993",13:58,64.683000000000007,-66.132999999999996,"559",
"536",X10700,9-14-93,"14",September,"1993",20:02,66.632999999999996,-61.366999999999997,"560",
"537",X13292,9-16-93,"16",September,"1993",".",64.897000000000006,-63.569000000000003,"561",
"538",X10700,9-19-93,"19",September,"1993",20:53,66.582999999999998,-61.417000000000002,"562",
"539",X10707,9-21-93,"21",September,"1993",16:55,65.500000000000000,-64.582999999999998,"563",
"540",X13292,9-22-93,"22",September,"1993",".",64.897000000000006,-63.569000000000003,"564",
"541",X13289,9-22-93,"22",September,"1993",".",65.090999999999994,-63.722999999999999,"565",
"542",X10700,9-24-93,"24",September,"1993",17:57,66.566999999999993,-61.383000000000003,"566",
"544",X10709,9-26-93,"26",September,"1993",11:48,64.667000000000002,-65.900000000000006,"569",
"545",X13292,9-28-93,"28",September,"1993",".",64.897000000000006,-63.569000000000003,"571",
"546",X13289,9-28-93,"28",September,"1993",".",65.090999999999994,-63.722999999999999,"572",
