"","ID","DATE","DAY","MONTH","YEAR","TIME","LAT","LONG","ROWID","ICE_LAND"
"1","X10700","2-06-93",6,"February",1993,"19:19",63.85,-65.183,296,"land"
"2","X10709","3-10-93",10,"March",1993,"17:51",64.5,-65.783,321,"land"
"3","X10709","3-15-93",15,"March",1993,"11:35",64.5,-65.783,327,"land"
"4","X10700","3-28-93",28,"March",1993,"19:17",63.85,-65.183,340,"land"
"5","X13292","8-11-93",11,"August",1993,".",64.897,-63.569,533,"land"
"6","X13292","8-17-93",17,"August",1993,".",64.897,-63.569,539,"land"
"7","X13292","8-23-93",23,"August",1993,".",64.897,-63.569,546,"land"
"8","X13292","8-29-93",29,"August",1993,".",64.897,-63.569,549,"land"
"9","X13292","9-04-93",4,"September",1993,".",64.897,-63.569,554,"land"
"10","X13292","9-10-93",10,"September",1993,".",64.897,-63.569,558,"land"
"11","X13292","9-16-93",16,"September",1993,".",64.897,-63.569,561,"land"
"12","X13292","9-22-93",22,"September",1993,".",64.897,-63.569,564,"land"
"13","X13289","9-22-93",22,"September",1993,".",65.091,-63.723,565,"land"
"14","X10700","9-24-93",24,"September",1993,"17:57",66.567,-61.383,566,"land"
"15","X13292","9-28-93",28,"September",1993,".",64.897,-63.569,571,"land"
"16","X13289","9-28-93",28,"September",1993,".",65.091,-63.723,572,"land"
"17","X10700","9-29-93",29,"September",1993,"20:18",66.567,-61.383,573,"land"
"18","X13292","10-04-93",4,"October",1993,".",64.897,-63.569,577,"land"
"19","X13292","10-10-93",10,"October",1993,".",64.897,-63.569,585,"land"
"20","X13289","10-10-93",10,"October",1993,".",65.091,-63.723,586,"land"
"21","X13292","10-16-93",16,"October",1993,".",64.897,-63.569,591,"land"
"22","X13289","10-16-93",16,"October",1993,".",65.091,-63.723,592,"land"
"23","X13292","10-22-93",22,"October",1993,".",64.897,-63.569,598,"land"
"24","X13289","10-22-93",22,"October",1993,".",65.091,-63.723,599,"land"
"25","X13428","9-02-94",2,"September",1994,".",66.474,-62.167,1076,"land"
"26","X13292","9-05-94",5,"September",1994,".",64.655,-65.247,1079,"land"
"27","X13428","9-08-94",8,"September",1994,".",66.474,-62.167,1082,"land"
"28","X13292","9-17-94",17,"September",1994,".",64.655,-65.247,1096,"land"
"29","X13292","9-23-94",23,"September",1994,".",64.655,-65.247,1102,"land"
"30","X13428","9-26-94",26,"September",1994,".",66.474,-62.167,1106,"land"
"31","X13746","9-28-94",28,"September",1994,".",67.088,-63.871,1109,"land"
"32","X13746","9-29-94",29,"September",1994,".",67.088,-63.871,1111,"land"
"33","X13746","9-30-94",30,"September",1994,".",67.088,-63.871,1112,"land"
"34","X13746","10-01-94",1,"October",1994,".",67.088,-63.871,1113,"land"
"35","X13428","10-02-94",2,"October",1994,".",66.474,-62.167,1115,"land"
"36","X13746","10-02-94",2,"October",1994,".",67.088,-63.871,1116,"land"
"37","X13746","10-03-94",3,"October",1994,".",67.088,-63.871,1118,"land"
"38","X13746","10-05-94",5,"October",1994,".",67.088,-63.871,1120,"land"
"39","X13746","10-07-94",7,"October",1994,".",67.088,-63.871,1122,"land"
"40","X13428","10-08-94",8,"October",1994,".",66.474,-62.167,1124,"land"
"41","X13746","10-08-94",8,"October",1994,".",67.088,-63.871,1125,"land"
"42","X13746","10-09-94",9,"October",1994,".",67.088,-63.871,1126,"land"
"43","X13746","10-10-94",10,"October",1994,".",67.088,-63.871,1127,"land"
"44","X13746","10-11-94",11,"October",1994,".",67.088,-63.871,1129,"land"
"45","X13746","10-12-94",12,"October",1994,".",67.088,-63.871,1130,"land"
"46","X13746","10-13-94",13,"October",1994,".",67.088,-63.871,1133,"land"
"47","X13746","10-16-94",16,"October",1994,".",67.088,-63.871,1134,"land"
"48","X13746","10-17-94",17,"October",1994,".",67.088,-63.871,1137,"land"
"49","X13428","10-20-94",20,"October",1994,".",66.474,-62.167,1140,"land"
"50","X13292","10-23-94",23,"October",1994,".",64.655,-65.247,1144,"land"
"51","X13746","10-23-94",23,"October",1994,".",67.088,-63.871,1145,"land"
"52","X13746","10-25-94",25,"October",1994,".",67.088,-63.871,1146,"land"
"53","X13428","10-26-94",26,"October",1994,".",66.474,-62.167,1147,"land"
"54","X13746","10-27-94",27,"October",1994,".",67.088,-63.871,1148,"land"
"55","X13746","10-28-94",28,"October",1994,".",67.088,-63.871,1150,"land"
"56","X13746","10-29-94",29,"October",1994,".",67.088,-63.871,1152,"land"
"57","X13746","10-30-94",30,"October",1994,".",67.088,-63.871,1153,"land"
"58","X13746","10-31-94",31,"October",1994,".",67.088,-63.871,1154,"land"
"59","X13428","11-01-94",1,"November",1994,".",66.474,-62.167,1156,"land"
"60","X13292","11-04-94",4,"November",1994,".",64.655,-65.247,1159,"land"
"61","X12092","11-07-94",7,"November",1994,"21:54",60.333,-64.517,1161,"land"
"62","X13428","11-07-94",7,"November",1994,".",66.474,-62.167,1162,"land"
"63","X13746","11-07-94",7,"November",1994,".",67.088,-63.871,1163,"land"
"64","X13746","11-13-94",13,"November",1994,".",67.088,-63.871,1167,"land"
"65","X13428","11-19-94",19,"November",1994,".",66.474,-62.167,1172,"land"
"66","X13292","11-22-94",22,"November",1994,".",64.655,-65.247,1177,"land"
"67","X13428","11-25-94",25,"November",1994,".",66.474,-62.167,1179,"land"
