"","ID","AREA","METHOD"
"X10695","X10695",196654.232535408,"MCP"
"X10703","X10703",68064.3534761504,"MCP"
"X13292","X13292",326339.154391123,"MCP"
"X13289","X13289",141330.422289119,"MCP"
"X13746","X13746",131561.570004463,"MCP"
"1","X10695",421693.008053829,"HREF"
"2","X10700",538247.756101692,"HREF"
"3","X10703",155740.543702726,"HREF"
"4","X10707",337960.461314769,"HREF"
"5","X10709",294573.224016551,"HREF"
"6","X11974",35589.334378638,"HREF"
"7","X11975",8551.40210128158,"HREF"
"8","X12080",1065331.09152175,"HREF"
"9","X12086",7016.44433556094,"HREF"
"10","X12092",76707.2289386697,"HREF"
"11","X13284",370439.296675161,"HREF"
"12","X13289",257299.928965943,"HREF"
"13","X13292",792176.900004284,"HREF"
"14","X13428",315197.124327792,"HREF"
"15","X13437",538662.345688243,"HREF"
"16","X13746",209461.483643757,"HREF"
"17","X30126",130341.356427657,"HREF"
"18","X30129",114789.18102347,"HREF"
"19","X30131",588089.069380648,"HREF"
"20","X30135",122395.372126819,"HREF"
"21","X30140",101178.18500101,"HREF"
"110","X10695",140980.50236802,"HPI"
"22","X10700",204955.404576458,"HPI"
"31","X10703",66228.5701245001,"HPI"
"41","X10707",80266.2505915842,"HPI"
"51","X10709",40631.8828584642,"HPI"
"61","X11974",5891.53605201453,"HPI"
"71","X11975",2883.88383981637,"HPI"
"81","X12080",210483.659679836,"HPI"
"91","X12086",1894.44730415161,"HPI"
"101","X12092",8977.87713933424,"HPI"
"111","X13284",183667.059896674,"HPI"
"121","X13289",136196.542971769,"HPI"
"131","X13292",156315.372626838,"HPI"
"141","X13428",32925.1199311978,"HPI"
"151","X13437",157377.881393353,"HPI"
"161","X13746",31227.492851851,"HPI"
"171","X30126",25721.4156259069,"HPI"
"181","X30129",29307.7777857687,"HPI"
"191","X30131",160149.230786819,"HPI"
"201","X30135",53824.7928011398,"HPI"
"211","X30140",22634.8761131819,"HPI"
