"","X","ID","DATE","DAY","MONTH","YEAR","TIME","LAT","LONG","ROWID","testDate","Season"
"1",15,"X10695","5-29-91",29,"May",1991,"0:41",62.567,-75.833,16,"1991-05-29","break"
"2",16,"X10695","5-30-91",30,"May",1991,"22:11",63.2,-75.967,17,"1991-05-30","break"
"3",17,"X10695","5-31-91",31,"May",1991,"23:30",63.417,-75.883,18,"1991-05-31","break"
"4",18,"X10695","6-01-91",1,"June",1991,"1:09",63.4,-75.95,19,"1991-06-01","break"
"5",19,"X10695","6-02-91",2,"June",1991,"22:43",63.8,-76.183,21,"1991-06-02","break"
"6",20,"X10695","6-10-91",10,"June",1991,"22:55",64.217,-79.183,22,"1991-06-10","break"
"7",21,"X10695","6-19-91",19,"June",1991,"0:49",65.883,-79.317,23,"1991-06-19","break"
"8",22,"X10695","6-27-91",27,"June",1991,"1:03",67.533,-77.333,24,"1991-06-27","break"
"9",23,"X10695","7-05-91",5,"July",1991,"22:25",66.233,-77.7,25,"1991-07-05","break"
"10",24,"X10695","7-08-91",8,"July",1991,"23:43",66.067,-78,26,"1991-07-08","break"
"11",25,"X10695","7-16-91",16,"July",1991,"22:18",65.417,-80.867,27,"1991-07-16","break"
"12",121,"X10707","5-14-92",14,"May",1992,"11:38",62.4,-64,127,"1992-05-14","break"
"13",122,"X10709","5-14-92",14,"May",1992,"13:20",63.967,-76.167,128,"1992-05-14","break"
"14",123,"X10695","5-15-92",15,"May",1992,"12:58",62.067,-71.267,129,"1992-05-15","break"
"15",124,"X10700","5-17-92",17,"May",1992,"17:10",62.883,-60.7,130,"1992-05-17","break"
"16",125,"X10707","5-19-92",19,"May",1992,"13:30",61.45,-63.817,132,"1992-05-19","break"
"17",126,"X10709","5-19-92",19,"May",1992,"14:55",63.4,-78.767,133,"1992-05-19","break"
"18",127,"X10700","5-22-92",22,"May",1992,"22:02",62.717,-61.75,134,"1992-05-22","break"
"19",128,"X10695","5-23-92",23,"May",1992,"11:04",61.85,-70.267,135,"1992-05-23","break"
"20",129,"X10703","5-23-92",23,"May",1992,"13:27",63.667,-63,136,"1992-05-23","break"
"21",130,"X10707","5-24-92",24,"May",1992,"14:46",61.45,-63.95,137,"1992-05-24","break"
"22",131,"X10709","5-24-92",24,"May",1992,"17:29",63.4,-81.5,138,"1992-05-24","break"
