"","X","ID","DATE","DAY","MONTH","YEAR","TIME","LAT","LONG","ROWID","testDate","Season"
"1",1,"X10695","4-02-91",2,"April",1991,"13:11",58.233,-62.167,1,"1991-04-02","winter"
"2",2,"X10695","4-04-91",4,"April",1991,"23:55",58.467,-62.4,3,"1991-04-04","winter"
"3",3,"X10695","4-05-91",5,"April",1991,"23:32",58.583,-62.65,4,"1991-04-05","winter"
"4",4,"X10695","4-06-91",6,"April",1991,"23:09",58.7,-62.75,5,"1991-04-06","winter"
"5",5,"X10695","4-08-91",8,"April",1991,"23:58",59.333,-63.5,6,"1991-04-08","winter"
"6",6,"X10695","4-13-91",13,"April",1991,"23:47",60.567,-64.317,7,"1991-04-13","winter"
"7",7,"X10695","4-17-91",17,"April",1991,"22:14",60.6,-64.433,8,"1991-04-17","winter"
"8",8,"X10695","4-21-91",21,"April",1991,"23:58",60.867,-66.117,9,"1991-04-21","winter"
"9",9,"X10695","4-25-91",25,"April",1991,"22:26",61.55,-69.083,10,"1991-04-25","winter"
"10",10,"X10695","5-08-91",8,"May",1991,"0:28",62.733,-72.817,11,"1991-05-08","winter"
"11",11,"X10695","5-16-91",16,"May",1991,"0:42",62.833,-73.917,12,"1991-05-16","winter"
"12",12,"X10695","5-20-91",20,"May",1991,"0:47",62.917,-74.483,13,"1991-05-20","winter"
"13",13,"X10695","5-26-91",26,"May",1991,"23:46",62.6,-74.983,14,"1991-05-26","winter"
"14",14,"X10695","5-27-91",27,"May",1991,"23:20",62.5,-75.15,15,"1991-05-27","winter"
"15",65,"X10695","1-14-92",14,"January",1992,"22:29",60.983,-66,67,"1992-01-14","winter"
"16",66,"X10695","1-18-92",18,"January",1992,"17:29",61.117,-66.817,68,"1992-01-18","winter"
"17",67,"X10695","1-22-92",22,"January",1992,"19:41",61.183,-66.633,69,"1992-01-22","winter"
"18",68,"X10695","1-24-92",24,"January",1992,"14:04",61.2,-67.2,70,"1992-01-24","winter"
"19",69,"X10695","1-25-92",25,"January",1992,"12:07",61.083,-67.45,71,"1992-01-25","winter"
"20",70,"X10695","1-26-92",26,"January",1992,"11:42",61.083,-67.567,72,"1992-01-26","winter"
"21",71,"X10695","1-27-92",27,"January",1992,"5:16",61.2,-68.133,73,"1992-01-27","winter"
"22",72,"X10695","1-28-92",28,"January",1992,"12:43",61.15,-68.75,74,"1992-01-28","winter"
"23",73,"X10695","1-29-92",29,"January",1992,"14:03",61.05,-69.15,75,"1992-01-29","winter"
"24",74,"X10695","1-30-92",30,"January",1992,"15:19",60.933,-69.25,76,"1992-01-30","winter"
"25",75,"X10695","1-31-92",31,"January",1992,"15:00",60.65,-69.317,77,"1992-01-31","winter"
"26",76,"X10695","2-07-92",7,"February",1992,"22:25",59.933,-68.35,78,"1992-02-07","winter"
"27",77,"X10695","2-13-92",13,"February",1992,"13:24",60.533,-67.433,79,"1992-02-13","winter"
"28",78,"X10695","2-16-92",16,"February",1992,"14:23",60.5,-67.367,80,"1992-02-16","winter"
"29",79,"X10695","3-12-92",12,"March",1992,"12:13",60.733,-69.117,81,"1992-03-12","winter"
"30",80,"X10695","3-16-92",16,"March",1992,"14:10",61.717,-69.383,82,"1992-03-16","winter"
"31",81,"X10695","3-20-92",20,"March",1992,".",61.483,-69.283,83,"1992-03-20","winter"
"32",82,"X10695","3-28-92",28,"March",1992,"11:34",61.717,-70.2,84,"1992-03-28","winter"
"33",83,"X10695","4-01-92",1,"April",1992,"11:50",61.717,-69.983,85,"1992-04-01","winter"
"34",84,"X10695","4-05-92",5,"April",1992,"13:42",61.733,-70.217,86,"1992-04-05","winter"
"35",85,"X10703","4-06-92",6,"April",1992,"21:34",56.567,-61.65,87,"1992-04-06","winter"
"36",86,"X10709","4-07-92",7,"April",1992,"18:00",58.45,-62.417,88,"1992-04-07","winter"
"37",87,"X10707","4-07-92",7,"April",1992,"18:26",58.483,-62.667,89,"1992-04-07","winter"
"38",88,"X10700","4-07-92",7,"April",1992,"21:14",58.6,-62.7,90,"1992-04-07","winter"
"39",89,"X10703","4-08-92",8,"April",1992,"16:31",59.45,-63.55,92,"1992-04-08","winter"
"40",90,"X10707","4-09-92",9,"April",1992,"14:00",58.1,-61.833,94,"1992-04-09","winter"
"41",91,"X10707","4-09-92",9,"April",1992,"9:31",58.1,-61.833,95,"1992-04-09","winter"
"42",92,"X10709","4-09-92",9,"April",1992,"16:22",58.4,-62.017,96,"1992-04-09","winter"
"43",93,"X10695","4-09-92",9,"April",1992,"12:21",61.9,-70.6,98,"1992-04-09","winter"
"44",94,"X10703","4-13-92",13,"April",1992,"15:55",61.017,-62.633,99,"1992-04-13","winter"
"45",95,"X10709","4-14-92",14,"April",1992,"12:19",58.15,-58.35,100,"1992-04-14","winter"
"46",96,"X10707","4-14-92",14,"April",1992,"13:53",59.317,-62.683,101,"1992-04-14","winter"
"47",97,"X10695","4-17-92",17,"April",1992,"11:11",62.617,-71.383,102,"1992-04-17","winter"
"48",98,"X10703","4-18-92",18,"April",1992,"12:59",62.067,-63.95,103,"1992-04-18","winter"
"49",99,"X10709","4-19-92",19,"April",1992,"17:44",60.4,-64.433,104,"1992-04-19","winter"
"50",100,"X10707","4-19-92",19,"April",1992,"13:49",61.383,-62.183,105,"1992-04-19","winter"
"51",101,"X10695","4-21-92",21,"April",1992,"14:46",62.767,-71.017,106,"1992-04-21","winter"
"52",102,"X10700","4-22-92",22,"April",1992,"17:42",61.017,-59.633,107,"1992-04-22","winter"
"53",103,"X10703","4-23-92",23,"April",1992,"18:36",61.933,-63.833,108,"1992-04-23","winter"
