,ID,DATE,DAY,MONTH,YEAR,TIME,LAT,LONG,ROWID,testDate,Season
1,X10695,4-02-91,2,April,1991,13:11,58.233,-62.167,1,1991-04-02,winter
2,X10695,4-04-91,4,April,1991,23:55,58.467,-62.4,3,1991-04-04,winter
3,X10695,4-05-91,5,April,1991,23:32,58.583,-62.65,4,1991-04-05,winter
4,X10695,4-06-91,6,April,1991,23:09,58.7,-62.75,5,1991-04-06,winter
5,X10695,4-08-91,8,April,1991,23:58,59.333,-63.5,6,1991-04-08,winter
6,X10695,4-13-91,13,April,1991,23:47,60.567,-64.317,7,1991-04-13,winter
7,X10695,4-17-91,17,April,1991,22:14,60.6,-64.433,8,1991-04-17,winter
8,X10695,4-21-91,21,April,1991,23:58,60.867,-66.117,9,1991-04-21,winter
9,X10695,4-25-91,25,April,1991,22:26,61.55,-69.083,10,1991-04-25,winter
10,X10695,5-08-91,8,May,1991,0:28,62.733,-72.817,11,1991-05-08,winter
11,X10695,5-16-91,16,May,1991,0:42,62.833,-73.917,12,1991-05-16,winter
12,X10695,5-20-91,20,May,1991,0:47,62.917,-74.483,13,1991-05-20,winter
13,X10695,5-26-91,26,May,1991,23:46,62.6,-74.983,14,1991-05-26,winter
14,X10695,5-27-91,27,May,1991,23:20,62.5,-75.15,15,1991-05-27,winter
15,X10695,5-29-91,29,May,1991,0:41,62.567,-75.833,16,1991-05-29,break
16,X10695,5-30-91,30,May,1991,22:11,63.2,-75.967,17,1991-05-30,break
17,X10695,5-31-91,31,May,1991,23:30,63.417,-75.883,18,1991-05-31,break
18,X10695,6-01-91,1,June,1991,1:09,63.4,-75.95,19,1991-06-01,break
19,X10695,6-02-91,2,June,1991,22:43,63.8,-76.183,21,1991-06-02,break
20,X10695,6-10-91,10,June,1991,22:55,64.217,-79.183,22,1991-06-10,break
21,X10695,6-19-91,19,June,1991,0:49,65.883,-79.317,23,1991-06-19,break
22,X10695,6-27-91,27,June,1991,1:03,67.533,-77.333,24,1991-06-27,break
23,X10695,7-05-91,5,July,1991,22:25,66.233,-77.7,25,1991-07-05,break
24,X10695,7-08-91,8,July,1991,23:43,66.067,-78,26,1991-07-08,break
