"","ID_YEAR","ID","YEAR","AREA","AREA_KM2"
"1","X10695_1991","X10695","1991",417815985503.142,417815.985503142
"2","X10695_1992","X10695","1992",444596396463.735,444596.396463735
"3","X10700_1993","X10700","1993",265935913372.29,265935.91337229
"4","X10700_1994","X10700","1994",803562183470.488,803562.183470487
"5","X10703_1993","X10703","1993",88343182693.5627,88343.1826935627
"6","X10703_1994","X10703","1994",94879673592.802,94879.673592802
"7","X10707_1992","X10707","1992",435359715567.693,435359.715567693
"8","X10707_1993","X10707","1993",268514748362.21,268514.74836221
"9","X10709_1993","X10709","1993",59308298911.0168,59308.2989110168
"10","X11975_1994","X11975","1994",10814613855.6084,10814.6138556084
"11","X11975_1995","X11975","1995",4291714573.30287,4291.71457330287
"12","X12080_1994","X12080","1994",1292206111513.28,1292206.11151328
"13","X12080_1995","X12080","1995",1014814443973.46,1014814.44397345
"14","X12086_1995","X12086","1995",3898545401.13193,3898.54540113193
"15","X12092_1994","X12092","1994",64633362256.7568,64633.3622567568
"16","X13284_1993","X13284","1993",397892661220.495,397892.661220495
"17","X13289_1993","X13289","1993",308221663548.118,308221.663548118
"18","X13289_1994","X13289","1994",235543223884.136,235543.223884136
"19","X13292_1993","X13292","1993",288592597251.598,288592.597251598
"20","X13292_1994","X13292","1994",1642116678027.45,1642116.67802745
"21","X13428_1994","X13428","1994",391118002142.933,391118.002142933
"22","X13437_1995","X13437","1995",335104103815.199,335104.103815199
"23","X13746_1994","X13746","1994",88925731772.9925,88925.7317729925
"24","X13746_1995","X13746","1995",283379730834.783,283379.730834783
"25","X30126_1998","X30126","1998",160857299839.63,160857.29983963
"26","X30126_1999","X30126","1999",85634533043.1228,85634.5330431228
"27","X30129_1998","X30129","1998",100050675907.65,100050.67590765
"28","X30129_1999","X30129","1999",135259055285.316,135259.055285316
"29","X30131_1998","X30131","1998",962262093465.04,962262.09346504
"30","X30131_1999","X30131","1999",324300947369.302,324300.947369302
"31","X30135_1999","X30135","1999",102127108395.774,102127.108395774
