"","ID","AREA","AREA_KM2"
"1","X10695_1991",324418015389.743,324418.015389743
"2","X10695_1992",342065239918.669,342065.239918669
"3","X10700_1993",323287210447.564,323287.210447564
"4","X10700_1994",332428375618.272,332428.375618272
"5","X10703_1993",321252581409.534,321252.581409534
"6","X10703_1994",304707036277.353,304707.036277353
"7","X10707_1992",337215854985.262,337215.854985262
"8","X10707_1993",329125817681.617,329125.817681617
"9","X10709_1993",297557119452.135,297557.119452135
"10","X11975_1994",226967107989.033,226967.107989032
"11","X11975_1995",156253322684.402,156253.322684402
"12","X12080_1994",337189307527.347,337189.307527347
"13","X12080_1995",326114982636.04,326114.98263604
"14","X12086_1995",108879932736.003,108879.932736003
"15","X12092_1994",293660455582.916,293660.455582916
"16","X13284_1993",342821302337.101,342821.302337101
"17","X13289_1993",340966279855.131,340966.279855131
"18","X13289_1994",317581787619.163,317581.787619163
"19","X13292_1993",326391115688.578,326391.115688578
"20","X13292_1994",319082614461.212,319082.614461212
"21","X13428_1994",322431114283.917,322431.114283917
"22","X13437_1995",345385037630.158,345385.037630158
"23","X13746_1994",280339439484.494,280339.439484494
"24","X13746_1995",325524443754.798,325524.443754798
"25","X30126_1998",318582637272.526,318582.637272526
"26","X30126_1999",293953832951.572,293953.832951572
"27","X30129_1998",312326385569.132,312326.385569132
"28","X30129_1999",316529690468.388,316529.690468388
"29","X30131_1998",337265713717.598,337265.713717598
"30","X30131_1999",332744656206.466,332744.656206466
"31","X30135_1999",330714949910.928,330714.949910928
