"","ID","AREA","AREA_KM2"
"1","X10695",179966107602.261,179966.107602261
"2","X10700",186743207237.007,186743.207237007
"3","X10703",68847359818.5738,68847.3598185738
"4","X10707",107654429908.894,107654.429908894
"5","X10709",57644480888.148,57644.480888148
"6","X11974",8554816696.43056,8554.81669643056
"7","X11975",2482392230.45458,2482.39223045458
"8","X12080",261820914574.721,261820.914574721
"9","X12086",1459283649.76562,1459.28364976562
"10","X12092",7709982523.12739,7709.98252312739
"11","X13284",178772176691.302,178772.176691302
"12","X13289",131103205778.437,131103.205778437
"13","X13292",196557145137.851,196557.145137851
"14","X13428",34464231753.14,34464.23175314
"15","X13437",170091296036.664,170091.296036664
"16","X13746",28051244963.0095,28051.2449630095
"17","X30126",21288380555.078,21288.380555078
"18","X30129",24161825955.9551,24161.825955955
"19","X30131",175789833756.8,175789.8337568
"20","X30135",54698267088.2748,54698.2670882748
"21","X30140",27428540802.1298,27428.5408021298
