field_1,ID,DATE,DAY,MONTH,YEAR,TIME,LAT,LONG,ROWID
"191",X10709,8-22-92,"22",August,"1992",16:12,64.017,-65.45,"199"
"195",X10709,8-27-92,"27",August,"1992",13:36,64.367,-65.417,"203"
"198",X10700,9-04-92,"4",September,"1992",19:50,63.767,-64.617,"210"
"199",X10709,9-06-92,"6",September,"1992",12:30,64.617,-65.65,"211"
"201",X10703,9-15-92,"15",September,"1992",12:40,64.167,-65.117,"215"
"202",X10703,9-25-92,"25",September,"1992",15:46,64.15,-65.417,"216"
"203",X13284,10-01-92,"1",October,"1992",".",66.462,-62.1,"218"
"204",X13292,10-03-92,"3",October,"1992",".",65.124,-63.444,"219"
"205",X13289,10-03-92,"3",October,"1992",".",65.143,-63.448,"220"
"206",X13284,10-08-92,"8",October,"1992",".",66.445,-62.185,"221"
"207",X13292,10-09-92,"9",October,"1992",".",65.113,-63.441,"222"
"208",X13289,10-09-92,"9",October,"1992",".",65.177,-63.411,"223"
"209",X13289,10-15-92,"15",October,"1992",".",65.214,-63.41,"224"
"210",X10707,10-16-92,"16",October,"1992",16:57,65.233,-63.817,"225"
"211",X13284,10-16-92,"16",October,"1992",".",66.472,-62.063,"226"
"212",X13292,10-21-92,"21",October,"1992",".",65.122,-63.437,"227"
"213",X10707,10-21-92,"21",October,"1992",11:01,65.183,-63.8,"228"
"215",X13284,10-24-92,"24",October,"1992",".",66.472,-62.077,"230"
"216",X10707,10-26-92,"26",October,"1992",14:57,65.2,-63.55,"231"
"217",X13292,10-27-92,"27",October,"1992",".",65.119,-63.392,"232"
"218",X13289,10-27-92,"27",October,"1992",".",65.201,-63.427,"233"
"219",X10707,10-31-92,"31",October,"1992",14:00,65.167,-63.617,"234"
"220",X13284,11-01-92,"1",November,"1992",".",66.457,-62.138,"235"
"223",X13284,11-05-92,"5",November,"1992",".",66.471,-62.032,"238"
"226",X13284,11-09-92,"9",November,"1992",".",66.412,-61.964,"241"
"228",X13292,11-14-92,"14",November,"1992",".",65.22,-63.356,"243"
"254",X10707,12-20-92,"20",December,"1992",11:54,62.45,-64.383,"269"
"281",X10700,2-06-93,"6",February,"1993",19:19,63.85,-65.183,"296"
"283",X10709,2-08-93,"8",February,"1993",12:25,64.5,-65.75,"298"
"301",X10700,3-03-93,"3",March,"1993",19:21,63.867,-65.233,"316"
"306",X10709,3-10-93,"10",March,"1993",17:51,64.5,-65.783,"321"
"310",X10703,3-14-93,"14",March,"1993",15:26,64.167,-65.4,"325"
"312",X10709,3-15-93,"15",March,"1993",11:35,64.5,-65.783,"327"
