"","LONG","LAT","ID","SEASON"
"X03956",-62.29764909,58.46168953,"X03956","winter"
"X10374",-63.43444124,59.73362854,"X10374","winter"
"X10393",-56.95297108,54.48959792,"X10393","winter"
"X10695",-70.13160865,61.85497389,"X10695","winter"
"X10700",-63.46954616,63.95838363,"X10700","winter"
"X10703",-64.43333333,64.189,"X10703","winter"
"X10707",-63.72323174,61.76676206,"X10707","winter"
"X10709",-65.3364367,64.42650385,"X10709","winter"
"X11974",-62.5435447,58.31413415,"X11974","winter"
"X11975",-62.9666556,58.65580857,"X11975","winter"
"X12080",-55.21236928,54.74887356,"X12080","winter"
"X12081",-55.46769695,55.02971171,"X12081","winter"
"X12082",-56.10833618,55.07548971,"X12082","winter"
"X12086",-62.21253332,57.95542412,"X12086","winter"
"X12092",-65.1568378,60.21238651,"X12092","winter"
"X13284",-55.9073599,63.00883655,"X13284","winter"
"X13289",-63.93173962,61.79829511,"X13289","winter"
"X13292",-62.4704881,62.66194037,"X13292","winter"
"X13428",-60.48117569,61.98959251,"X13428","winter"
"X13437",-62.10566304,61.0879503,"X13437","winter"
"X13746",-57.86312175,64.77380484,"X13746","winter"
"X30126",-64.37721118,60.82678184,"X30126","winter"
"X30129",-66.27319301,61.18170183,"X30129","winter"
"X30131",-62.69999406,59.68763642,"X30131","winter"
"X30135",-66.89979752,60.80746552,"X30135","winter"
"X30140",-69.31166917,59.55674029,"X30140","winter"
"X039561",-62.69633724,58.45266302,"X03956","break"
"X103741",-63.8496469,60.81102109,"X10374","break"
"X106951",-77.24628595,64.56868912,"X10695","break"
"X107001",-61.42789737,63.75671711,"X10700","break"
"X107031",-62.86072254,64.0265865,"X10703","break"
"X107071",-62.56339755,64.20998755,"X10707","break"
"X107091",-65.26921188,64.99128679,"X10709","break"
"X119741",-62.32074081,58.14257975,"X11974","break"
"X119751",-63.99965554,58.4693623,"X11975","break"
"X120801",-62.20995205,61.05973723,"X12080","break"
"X120861",-62.5028428,58.20273056,"X12086","break"
"X120921",-65.0583354,60.52036634,"X12092","break"
"X132841",-58.56928175,64.98384097,"X13284","break"
"X132891",-61.09756731,64.47808291,"X13289","break"
"X132921",-60.35781507,64.71159145,"X13292","break"
"X134281",-59.01855697,66.65159311,"X13428","break"
"X137461",-58.93736348,68.20710611,"X13746","break"
"X301261",-63.91925402,61.23011775,"X30126","break"
"X301291",-63.55274154,60.54999768,"X30129","break"
"X301311",-64.22878508,61.68219535,"X30131","break"
"X106952",-67.69451708,60.67847346,"X10695","freeze"
"X107002",-61.5548448,64.80878547,"X10700","freeze"
"X107032",-64.35998866,64.06306152,"X10703","freeze"
"X107092",-64.93780342,64.54046139,"X10709","freeze"
"X119752",-63.01414091,58.69299432,"X11975","freeze"
"X120802",-62.51672618,61.69911847,"X12080","freeze"
"X120922",-64.51133333,60.32766667,"X12092","freeze"
"X132842",-56.55954872,62.77271695,"X13284","freeze"
"X132892",-63.10893811,63.4140239,"X13289","freeze"
"X132922",-61.36475638,62.3460867,"X13292","freeze"
"X134282",-58.24566392,65.7511653,"X13428","freeze"
"X137462",-59.0408878,64.21982827,"X13746","freeze"
"X301262",-63.66453407,60.54352392,"X30126","freeze"
"X301292",-65.00246418,61.5525595,"X30129","freeze"
"X301312",-62.3255181,59.38094055,"X30131","freeze"
"X301351",-65.41570559,60.52614936,"X30135","freeze"
"X301401",-68.30275676,59.55414115,"X30140","freeze"
"X106953",-79.55920048,64.87473654,"X10695","summer"
"X107003",-60.88474508,65.89082509,"X10700","summer"
"X107033",-64.69032915,64.88462028,"X10703","summer"
"X107072",-63.55184565,65.07565175,"X10707","summer"
"X107093",-65.62630646,64.98026253,"X10709","summer"
"X119753",-63.35623152,59.06827793,"X11975","summer"
"X120803",-64.26777913,63.83466118,"X12080","summer"
"X120862",-62.52583416,58.35725041,"X12086","summer"
"X120923",-64.54560246,60.37436543,"X12092","summer"
"X132893",-64.08681784,63.54896373,"X13289","summer"
"X132923",-63.12261413,64.91000683,"X13292","summer"
"X134283",-61.05533333,65.62933333,"X13428","summer"
"X137463",-63.11856821,66.18964079,"X13746","summer"
"X301263",-64.50636937,61.30890676,"X30126","summer"
"X301293",-64.91883521,61.49073796,"X30129","summer"
"X301313",-64.49599557,62.4566794,"X30131","summer"
