"","ROWID_2","ID","ROWID","DATE","DAY","MONTH","YEAR","TIME","SEASON","LONG","LAT","USED_AVAIL","ZONE","EASTING","NORTHING","ANGLE","DIST_KM","DIFF_DATE","KM_PER_DAY","KM_PER_HR","M_PER_HR","M_PER_S","date_char","distance","lon","lat"
"distance...1",1,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.5887411375558,58.8742345024353,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",306921.96359046,-57.3005388789981,59.3112032949558
"distance...2",2,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.5746616159909,58.8963980054001,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",305647.234408696,-57.3005388789981,59.3112032949558
"distance...3",3,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.5011956823092,58.8632073132356,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",302219.559096464,-57.3005388789981,59.3112032949558
"distance...4",4,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.4284812464728,58.9145301890523,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",296992.858155891,-57.3005388789981,59.3112032949558
"distance...5",5,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.2734657904672,58.8797587279012,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",288981.244917013,-57.3005388789981,59.3112032949558
"distance...6",6,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.267,58.15,"used",20,543145.19612,6445644.7564,-177.036564340346,75.9946244519757,5,15.1989248903951,0.633288537099797,633.288537099797,0.175913482527721,"19940404",310777.566699244,-57.1237382477894,58.8909592797079
"distance...7",7,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.1823795809409,58.5964292601574,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",291948.775175329,-57.3005388789981,59.3112032949558
"distance...8",8,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.1538172602331,58.9507787349761,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",280704.182794837,-57.3005388789981,59.3112032949558
"distance...9",9,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.0506609035087,58.5589456168257,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",285880.739379836,-57.211508376476,59.1010134977355
"distance...10",10,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.0188804949088,58.5385731766989,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",284657.756787637,-57.211508376476,59.1010134977355
"distance...11",11,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-62.0006237240671,58.9163306452444,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",272756.848901695,-57.3005388789981,59.3112032949558
"distance...12",12,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.9864813933786,58.5693332611487,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",281975.766888866,-57.211508376476,59.1010134977355
"distance...13",13,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.9814330160527,58.7777362279167,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",275119.474304165,-57.3005388789981,59.3112032949558
"distance...14",14,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.9414829191573,58.6972618774829,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",275272.343336727,-57.3005388789981,59.3112032949558
"distance...15",15,"X03956",796,"1994-04-04",4,"April",1994,"20:42","winter",-61.9249154811718,58.6705516355244,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",275205.929657456,-57.3005388789981,59.3112032949558
