"","ID","DATE","DAY","MONTH","YEAR","TIME","LAT","LONG","ROWID","ICE_LAND","SEASON","ANGLE","DIST_KM","DIFF_DATE","KM_PER_DAY","KM_PER_HR","M_PER_HR","M_PER_S"
"1","X30140","1998-12-28",28,"December",1998,"17:23",59.722,-67.71,1739,"ice","freeze",21.400475538953,78.7696469030518,6,13.128274483842,0.547011436826749,547.011436826749,0.151947621340764
"2","X30140","1998-12-22",22,"December",1998,"14:02",59.487,-68.145,1737,"ice","freeze",-136.688054877682,35.7775465127487,6,5.96292441879144,0.24845518411631,248.45518411631,0.0690153289211972
"3","X30140","1998-09-29",29,"September",1998,"18:58",60.208,-68.344,1718,"land","summer",-7.80710750964568,80.8837098809747,84,0.962901308106842,0.0401208878377851,40.1208878377851,0.0111446910660514
"4","X30140","1998-09-11",11,"September",1998,"18:57",60.23,-68.241,1711,"land","summer",66.6859300539691,6.18810632899774,18,0.343783684944319,0.0143243202060133,14.3243202060133,0.00397897783500369
"5","X30140","1998-05-08",8,"May",1998,"13:39",58.863,-69.262,1676,"land","break",-158.824610105158,162.415820167288,126,1.28901444577213,0.0537089352405052,53.7089352405052,0.0149191486779181
"6","X30140","1998-05-02",2,"May",1998,"20:40",59.081,-68.879,1672,"ice","winter",41.9998956427123,32.6810155572503,6,5.44683592620838,0.226951496925349,226.951496925349,0.0630420824792637
"7","X30140","1998-04-26",26,"April",1998,"14:43",59.165,-69.209,1667,"ice","winter",-63.4770512141491,21.0063788777554,6,3.50106314629257,0.145877631095524,145.877631095524,0.040521564193201
"8","X30140","1998-04-08",8,"April",1998,"19:32",59.184,-69.038,1656,"ice","winter",77.6923151569061,9.96312222560221,18,0.553506790311234,0.0230627829296348,23.0627829296347,0.00640632859156521
"9","X30140","1998-04-02",2,"April",1998,"17:00",59.171,-69.074,1652,"ice","winter",-125.159646094276,2.50758049120292,6,0.417930081867153,0.0174137534111314,17.4137534111314,0.00483715372531427
"10","X30140","1998-03-27",27,"March",1998,"14:50",59.121,-69.137,1650,"ice","winter",-147.102662416139,6.61506163716607,6,1.10251027286101,0.0459379280358755,45.9379280358755,0.012760535565521
