"","X","ID","DATE","DAY","MONTH","YEAR","TIME","LAT","LONG","ROWID","testDate","Season"
"1",54,"X10695","11-28-91",28,"November",1991,"22:12",63.35,-78.817,56,"1991-11-28","freeze"
"2",55,"X10695","11-29-91",29,"November",1991,"21:54",63.283,-78.3,57,"1991-11-29","freeze"
"3",56,"X10695","12-01-91",1,"December",1991,"21:10",62.95,-78.217,58,"1991-12-01","freeze"
"4",57,"X10695","12-04-91",4,"December",1991,"21:47",62.567,-75.25,59,"1991-12-04","freeze"
"5",58,"X10695","12-09-91",9,"December",1991,"21:46",62.3,-75.767,60,"1991-12-09","freeze"
"6",59,"X10695","12-13-91",13,"December",1991,"19:33",62.767,-73.217,61,"1991-12-13","freeze"
"7",60,"X10695","12-17-91",17,"December",1991,"20:24",61.433,-71.167,62,"1991-12-17","freeze"
"8",61,"X10695","12-25-91",25,"December",1991,"22:49",61.067,-67.95,63,"1991-12-25","freeze"
"9",62,"X10695","12-29-91",29,"December",1991,"19:42",60.5,-67.867,64,"1991-12-29","freeze"
"10",63,"X10695","1-06-92",6,"January",1992,"19:51",60.5,-66.033,65,"1992-01-06","freeze"
"11",64,"X10695","1-10-92",10,"January",1992,"22:12",60.583,-66.45,66,"1992-01-10","freeze"
"12",234,"X13289","11-20-92",20,"November",1992,".",64.92,-62.455,247,"1992-11-20","freeze"
"13",235,"X13284","11-21-92",21,"November",1992,".",64.805,-62.189,248,"1992-11-21","freeze"
"14",236,"X10707","11-25-92",25,"November",1992,"17:19",62.383,-61.067,249,"1992-11-25","freeze"
"15",237,"X13284","11-25-92",25,"November",1992,".",64.685,-61.941,250,"1992-11-25","freeze"
"16",238,"X13289","11-26-92",26,"November",1992,".",64.605,-59.286,251,"1992-11-26","freeze"
"17",239,"X13292","11-26-92",26,"November",1992,".",64.866,-60.456,252,"1992-11-26","freeze"
"18",240,"X13284","11-29-92",29,"November",1992,".",64.459,-59.81,253,"1992-11-29","freeze"
"19",241,"X10707","11-30-92",30,"November",1992,"17:57",62.05,-61.15,254,"1992-11-30","freeze"
"20",242,"X13292","12-02-92",2,"December",1992,".",63.042,-60.489,255,"1992-12-02","freeze"
"21",243,"X13289","12-02-92",2,"December",1992,".",63.232,-61.316,256,"1992-12-02","freeze"
"22",244,"X13284","12-03-92",3,"December",1992,".",64.027,-59.894,257,"1992-12-03","freeze"
"23",245,"X10707","12-05-92",5,"December",1992,"16:54",61.8,-60.367,258,"1992-12-05","freeze"
"24",246,"X13284","12-07-92",7,"December",1992,".",63.918,-59.685,259,"1992-12-07","freeze"
"25",247,"X13292","12-08-92",8,"December",1992,".",62.202,-61.506,260,"1992-12-08","freeze"
"26",248,"X13289","12-08-92",8,"December",1992,".",62.321,-62.181,261,"1992-12-08","freeze"
"27",249,"X10707","12-10-92",10,"December",1992,"12:05",62.05,-63.75,262,"1992-12-10","freeze"
"28",250,"X13284","12-11-92",11,"December",1992,".",63.48,-58.794,263,"1992-12-11","freeze"
"29",251,"X13289","12-14-92",14,"December",1992,".",62.069,-61.434,264,"1992-12-14","freeze"
"30",252,"X13292","12-14-92",14,"December",1992,".",62.129,-60.823,265,"1992-12-14","freeze"
"31",253,"X13284","12-15-92",15,"December",1992,".",62.747,-60.421,266,"1992-12-15","freeze"
"32",254,"X13284","12-19-92",19,"December",1992,".",62.808,-59.889,267,"1992-12-19","freeze"
"33",255,"X13292","12-20-92",20,"December",1992,".",62.162,-58.797,268,"1992-12-20","freeze"
"34",256,"X10707","12-20-92",20,"December",1992,"11:54",62.45,-64.383,269,"1992-12-20","freeze"
"35",257,"X13289","12-20-92",20,"December",1992,".",62.723,-59.364,270,"1992-12-20","freeze"
"36",258,"X13284","12-23-92",23,"December",1992,".",62.688,-59.382,271,"1992-12-23","freeze"
