"","distance","lon","lat"
"distance...1",306921.96359046,-57.3005388789981,59.3112032949558
"distance...2",305647.234408696,-57.3005388789981,59.3112032949558
"distance...3",302219.559096464,-57.3005388789981,59.3112032949558
"distance...4",296992.858155891,-57.3005388789981,59.3112032949558
"distance...5",288981.244917013,-57.3005388789981,59.3112032949558
"distance...6",310777.566699244,-57.1237382477894,58.8909592797079
"distance...7",291948.775175329,-57.3005388789981,59.3112032949558
"distance...8",280704.182794837,-57.3005388789981,59.3112032949558
"distance...9",285880.739379836,-57.211508376476,59.1010134977355
"distance...10",284657.756787637,-57.211508376476,59.1010134977355
"distance...11",272756.848901695,-57.3005388789981,59.3112032949558
"distance...12",281975.766888866,-57.211508376476,59.1010134977355
"distance...13",275119.474304165,-57.3005388789981,59.3112032949558
"distance...14",275272.343336727,-57.3005388789981,59.3112032949558
"distance...15",275205.929657456,-57.3005388789981,59.3112032949558
"distance...16",281267.34930312,-57.211508376476,59.1010134977355
"distance...17",277654.987296971,-57.211508376476,59.1010134977355
"distance...18",272265.791885185,-57.211508376476,59.1010134977355
"distance...19",260923.300338522,-57.3005388789981,59.3112032949558
"distance...20",262116.310352444,-57.3005388789981,59.3112032949558
"distance...21",257178.281203419,-57.3005388789981,59.3112032949558
"distance...22",275426.324273568,-57.0372023203657,58.681043405113
"distance...23",252669.893585029,-57.211508376476,59.1010134977355
"distance...24",250666.802798438,-57.211508376476,59.1010134977355
"distance...25",265014.555159377,-57.0372023203657,58.681043405113
"distance...26",239703.676495395,-57.3005388789981,59.3112032949558
"distance...27",271133.450704492,-56.8677318975661,58.2616374867023
"distance...28",268501.582898844,-56.9518751300248,58.4712685866026
"distance...29",249526.21405432,-57.1237382477894,58.8909592797079
"distance...30",269693.043155604,-56.8677318975661,58.2616374867023
"distance...31",250079.947079837,-57.1237382477894,58.8909592797079
"distance...32",236917.071961608,-57.211508376476,59.1010134977355
"distance...33",256172.681113903,-56.9518751300248,58.4712685866026
"distance...34",252743.710972436,-57.0372023203657,58.681043405113
"distance...35",253858.753948419,-57.0372023203657,58.681043405113
"distance...36",257646.919739428,-56.9518751300248,58.4712685866026
"distance...37",246319.265329615,-57.0372023203657,58.681043405113
"distance...38",245283.588005027,-57.0372023203657,58.681043405113
"distance...39",229585.94163904,-57.211508376476,59.1010134977355
"distance...40",230434.185412645,-57.211508376476,59.1010134977355
"distance...41",233081.731560883,-57.1237382477894,58.8909592797079
"distance...42",252379.467834448,-56.8677318975661,58.2616374867023
"distance...43",247490.569233923,-56.9518751300248,58.4712685866026
"distance...44",229456.561930379,-57.1237382477894,58.8909592797079
"distance...45",243783.844818618,-56.9518751300248,58.4712685866026
"distance...46",232797.100419377,-57.1237382477894,58.8909592797079
"distance...47",245843.710050274,-56.8677318975661,58.2616374867023
"distance...48",221287.410144617,-57.211508376476,59.1010134977355
"distance...49",229148.738643575,-57.0372023203657,58.681043405113
"distance...50",228034.030163123,-57.1237382477894,58.8909592797079
"distance...51",217289.163934345,-57.1237382477894,58.8909592797079
"distance...52",292082.898272216,-57.3005388789981,59.3112032949558
"distance...53",296806.452465052,-57.3005388789981,59.3112032949558
"distance...54",307762.75374216,-57.0372023203657,58.681043405113
"distance...55",284275.581099209,-57.3005388789981,59.3112032949558
"distance...56",289577.690467838,-57.211508376476,59.1010134977355
"distance...57",282599.949674937,-57.3005388789981,59.3112032949558
"distance...58",287910.336378431,-57.211508376476,59.1010134977355
"distance...59",276965.619197566,-57.3005388789981,59.3112032949558
"distance...60",284024.931815931,-57.211508376476,59.1010134977355
"distance...61",283729.036891319,-57.1237382477894,58.8909592797079
"distance...62",260782.960208371,-57.3005388789981,59.3112032949558
"distance...63",272781.591533912,-57.1237382477894,58.8909592797079
"distance...64",269931.315628474,-57.1237382477894,58.8909592797079
"distance...65",269838.920309789,-57.0372023203657,58.681043405113
"distance...66",264857.43887283,-57.1237382477894,58.8909592797079
"distance...67",267820.878489715,-57.0372023203657,58.681043405113
"distance...68",251291.350267,-57.211508376476,59.1010134977355
"distance...69",259761.678561295,-57.1237382477894,58.8909592797079
"distance...70",259610.586659561,-57.1237382477894,58.8909592797079
"distance...71",245541.510171683,-57.3005388789981,59.3112032949558
"distance...72",253698.923305263,-57.1237382477894,58.8909592797079
"distance...73",263199.176234706,-57.0372023203657,58.681043405113
"distance...74",253945.670634935,-57.1237382477894,58.8909592797079
"distance...75",266487.64355097,-56.9518751300248,58.4712685866026
